id,name,city,region,location,source
1646,بیلبورد زعفرانیه,تهران,زعفرانیه، میدان الف، ضلع جنوب شرقی,زعفرانیه، میدان الف، ضلع جنوب شرقی,billboardiha
3775,ستون خروجی کش هایپراستار، راهروی اصلی,تهران,ستون خروجی کش هایپراستار در راهروی اصلی (سه وجهی),ستون خروجی کش هایپراستار در راهروی اصلی (سه وجهی),irbillboard
3648,ستون ورودی هایپراستار در راهروی اصلی,تهران,ستون ورودی هایپراستار در راهروی اصلی (سه وجهی),ستون ورودی هایپراستار در راهروی اصلی (سه وجهی),irbillboard
3280,بیلبورد سه راه تهران,تهران,سه راه تهران، ورودی فاز 4 مهرشهر (مسیر رفت),سه راه تهران، ورودی فاز 4 مهرشهر (مسیر رفت),billboardiha
1638,بیلبورد شهرك قدس,تهران,شهرك قدس (غرب)، خيابان ايران زمين، نرسيده به خيابان مهستان، مقابل کانون قدس,شهرك قدس (غرب)، خيابان ايران زمين، نرسيده به خيابان مهستان، مقابل کانون قدس,billboardiha
2017,بیلبورد صفادشت,تهران,صفادشت، بلوار اصلی، روبروی پارک جنگلی نصیر آباد (مسیر شرق به غرب),صفادشت، بلوار اصلی، روبروی پارک جنگلی نصیر آباد (مسیر شرق به غرب),billboardiha
2016,بیلبورد صفادشت,تهران,صفادشت، بلوار اصلی، روبروی پارک جنگلی نصیر آباد (مسیر غرب به شرق),صفادشت، بلوار اصلی، روبروی پارک جنگلی نصیر آباد (مسیر غرب به شرق),billboardiha
2923,بیلبورد تقاطع خیابان سهروردی و خیابان بهشتی,تهران,ضلع جنوب غربی، تقاطع خیابان سهروردی با خیابان بهشتی,ضلع جنوب غربی، تقاطع خیابان سهروردی با خیابان بهشتی,billboardiha
3696,عرشه پل آزادگان قبل از فرایبورگ,تهران,عرشه پل آزادگان (سعادت آباد) قبل از فرایبورگ,عرشه پل آزادگان (سعادت آباد) قبل از فرایبورگ,irbillboard
3701,عرشه پل آزادگان قبل از فرایبورگ,تهران,عرشه پل آزادگان (سعادت آباد) قبل از فرایبورگ,عرشه پل آزادگان (سعادت آباد) قبل از فرایبورگ,irbillboard
3757,عرشه پل اتوبان دستجردی تقاطع سپاهان,تهران,عرشه پل اتوبان دستجردی تقاطع سپاهان,عرشه پل اتوبان دستجردی تقاطع سپاهان,irbillboard
3762,عرشه پل ارتش,تهران,عرشه پل ارتش,عرشه پل ارتش,irbillboard
3783,عرشه پل ارتش نرسیده به وحید,تهران,عرشه پل ارتش نرسیده به وحید,عرشه پل ارتش نرسیده به وحید,irbillboard
3708,عرشه پل ارتش نرسیده میدان ارتش,تهران,عرشه پل ارتش نرسیده میدان ارتش,عرشه پل ارتش نرسیده میدان ارتش,irbillboard
3685,عرشه پل سجاد به سمت بزرگمهر,تهران,عرشه پل سجاد به سمت بزرگمهر,عرشه پل سجاد به سمت بزرگمهر,irbillboard
3692,عرشه پل هزار جریب به سمت صفه,تهران,عرشه پل هزار جریب به سمت صفه,عرشه پل هزار جریب به سمت صفه,irbillboard
3716,عرشه پل هزار جریب به سمت نیک نژادی,تهران,عرشه پل هزار جریب به سمت نیک نژادی,عرشه پل هزار جریب به سمت نیک نژادی,irbillboard
2196,بیلبورد فرودگاه بین المللی مهر آباد,تهران,فرودگاه بین المللی مهر آباد، سالن ترانزیت ترمینال 4، بالای گیت های خروج (8_3),فرودگاه بین المللی مهر آباد، سالن ترانزیت ترمینال 4، بالای گیت های خروج (8_3),billboardiha
2197,بیلبورد فرودگاه بین المللی مهر آباد,تهران,فرودگاه بین المللی مهر آباد، سالن عمومی ترمینال 4، بالای کانتر های چک این، ضلع شرقی,فرودگاه بین المللی مهر آباد، سالن عمومی ترمینال 4، بالای کانتر های چک این، ضلع شرقی,billboardiha
2195,بیلبورد فرودگاه بین المللی مهر آباد,تهران,فرودگاه بین المللی مهر آباد، سالن عمومی، بالای گیت ورود به سالن ترانزیت,فرودگاه بین المللی مهر آباد، سالن عمومی، بالای گیت ورود به سالن ترانزیت,billboardiha
2386,بیلبورد محور فیروزکوه,تهران,محور فیروزکوه، منطقه پل سفید، بعد از پل شورمست، دید از تهران,محور فیروزکوه، منطقه پل سفید، بعد از پل شورمست، دید از تهران,billboardiha
2385,بیلبورد محور فیروزکوه,تهران,محور فیروزکوه، منطقه پل سفید، بعد از پل شورمست، دید از شمال,محور فیروزکوه، منطقه پل سفید، بعد از پل شورمست، دید از شمال,billboardiha
2383,بیلبورد محور فیروزکوه,تهران,محور فیروزکوه، منطقه پل سفید، میدان امام رضا به سمت شمال، روبروی شهرک,محور فیروزکوه، منطقه پل سفید، میدان امام رضا به سمت شمال، روبروی شهرک,billboardiha
